"","X.1","X","sitename","plotid","genotype","date","Stem","Leaf","Root","Rhizome","precip","LAI","NDVI","Height"
"58269",814884,814884,"south","D",9982,"2004-07-19",18.58,4.5,3.36,5.70964644878861,0.443361193194648,3.17,1.58,2.32
"152",809440,809440,"north","A",9982,"1999-07-10",18.08,6.16,5.2,6.19894156467974,0.0243011843389539,4.39,1.58,2.55
"12147",810042,810042,"north","A",9982,"2007-07-29",1.83,2.66,2.3,2.92048512813088,0.305880154103912,1.86,1.53,0.71
"11702",204576,204576,"north","D",9932,"1997-05-01",0,1.32,1.35,7.04759702822964,16.3237925168448,0.99,1.19,0.44
"66127",817983,817983,"south","A",9982,"2004-09-29",21.1,4.09,4.23,6.10612278145376,0,3.02,1.47,2.76
"23472",2714645,2714645,"central","A",10140,"1999-06-10",14.49,7.21,7.83,3.52303172662155,1.56658940206878,5.47,1.71,2.12
"76254",1346856,1346856,"south","A",10026,"1997-10-13",18.41,3.58,3.67,5.26592576750002,0.0451885398995588,1.30101404628712,1.44,2.65
"96223",1335954,1335954,"north","D",10026,"1999-07-06",19.65,7.87,6.65,2.90296623137806,0.0718557229048106,5.08009678611243,1.71,2.35
"11581",135561,135561,"north","A",9926,"1999-06-09",13.9,5.55,5.1,2.88924940869531,0.0937122295871481,5.9024469307618,1.58,1.76
"23359",1342923,1342923,"central","A",10026,"1999-07-20",17.02,7.48,5.91,2.52155951274804,1.41832138142181,3.84226363930021,1.59,2.27
"37123",807354,807354,"north","B",9982,"1997-10-17",18.03,5.75,4.67,2.77319459734731,0.0358262932530486,4.51,1.58,2.42
"12868",137193,137193,"central","D",9926,"2007-06-22",6.81,3.21,3.37,2.37013290561908,0.00507867035578545,4.3901828321887,1.42,1.08
"12707",213797,213797,"south","B",9932,"1999-05-29",14.85,6.15,6.24,3.76421138155893,6.77262905680835e-05,4.19,1.8,1.76
"5452",142418,142418,"south","C",9926,"1997-06-17",6.4,3.56,3,1.53591451889568,15.3218910122675,4.53522287990576,1.49,1.23
"96728",2714400,2714400,"central","A",10140,"1997-05-07",0.19,1.9,2.25,6.3266248706465,0.264186032208577,1.4,1.29,0.49
"23543",810702,810702,"central","D",9982,"2000-08-23",15.28,2.07,1.53,4.74343155256569,0.774631425521275,1.53,1.33,1.72
"26392",143256,143256,"south","C",9926,"2007-07-11",7.6,3.76,3.49,2.55110739690412,0.39063792575574,4.30017492694621,1.4,1.2
"27544",1342061,1342061,"central","C",10026,"2000-04-16",0,0.22,0.21,2.66982701871964,0.00703439233354354,-0.920875387533689,0.87,0.21
