"","X","sitename","plotid","genotype","date","Stem","Leaf","Root","Rhizome","precip","LAI","NDVI","Height"
"1904565",1904565,"north","A",10073,"2000-04-18",0,1.07,0.95,6.00187873837122,19.6178152576165,0.8,1.1,0.4
"2103014",2103014,"south","B",10089,"1999-07-04",12.72,5.78,5.23,4.37337536245282,0.00283393102594082,4.05,1.77,2.12
"327715",327715,"north","C",9942,"2007-08-01",3.72,2.52,2.55,2.81085676926633,0,1.93,1.45,0.69
"1349076",1349076,"north","B",10027,"2000-04-28",0,0.84,0.79,2.42144678255141,0.00990984416589026,0.59,1.05,0.37
"556234",556234,"north","C",9961,"2007-04-15",0,0,0.02,8.14313193055964,0.0361900926474483,0,0.84,0.07
"775459",775459,"central","B",9979,"1999-09-28",18.51,3.23,3.99,4.25097961956064,0.000245112863746989,2.3,1.57,2.13
"2046099",2046099,"north","D",10085,"2000-07-11",18.82,5.74,3.68,2.30221870762087,16.686104733359,4.01,1.61,2.55
"2369271",2369271,"south","C",10111,"2007-04-12",0,0.35,0.37,6.7791124914588,20.3324059385829,0.26,1,0.24
"606401",606401,"central","D",9965,"2004-11-11",7.21,2.85,3,4.26462826130317,0.283952730234007,1.88,1.45,1.08
"2641947",2641947,"central","C",10134,"2004-09-06",19.76,3.71,2.15,6.40471442617032,1.57178203864333,2.75,1.55,2.91
"197045",197045,"central","D",9931,"2000-09-18",19.64,2.49,1.89,6.92897779400492,0,1.71,1.37,2.52
"535921",535921,"central","C",9959,"2000-06-26",10.6,4.2,2.92,0.936329788464848,7.67660629656752,3.18,1.68,1.52
"335255",335255,"south","C",9942,"1999-09-21",18.47,3.64,3.73,4.14507921710442,0.17211585728249,2.43,1.48,2.35
"1892016",1892016,"north","C",10072,"2007-08-12",1.38,2.85,2.32,2.82957405572773,0,1.86,1.38,0.71
"1918742",1918742,"central","B",10074,"2000-08-07",14.49,2.79,2.28,5.29252371845852,1.47026323961558,1.87,1.45,2.2
"2401071",2401071,"central","C",10114,"2000-07-31",20.99,4.99,3.36,4.50414114200351,11.2753475877161,3.57,1.58,2.68
"242099",242099,"north","B",9935,"2000-06-26",9.37,4.34,3.17,1.4730742484294,9.9137643885257,3.33,1.51,1.4
"2084915",2084915,"north","A",10088,"1999-06-17",15.15,5.77,5.07,3.10933533607113,0.344992493728612,3.98,1.65,1.91
"421915",421915,"north","D",9950,"2007-04-17",0,0.29,0.28,5.22258448414664,0,0.21,0.88,0.23
"2544864",2544864,"central","C",10126,"2007-08-12",9.6,3.41,3.25,2.66916434582097,0,2.63,1.42,1.17
